,model,dataset,noise_type,noise_ratio,accuracy,std
0,gcn,citeseer,uniform,0.0,0.6624,0.020201190916915322
1,gcn,citeseer,uniform,0.2,0.5905799999999999,0.023577821656485448
2,gcn,citeseer,uniform,0.4,0.50606,0.027646503007555695
3,gcn,citeseer,uniform,0.6,0.3712000000000001,0.05314235130027499
4,gcn,citeseer,uniform,0.8,0.20373999999999998,0.018736463976179906
5,gcn,cora,structure-based pair,0.2,0.7303000000000001,0.024505666840864
6,gcn,cora,structure-based pair,0.4,0.5515,0.05940743716435365
7,gcn,cora,structure-based pair,0.6,0.3542199999999999,0.049379381316631187
8,gcn,cora,structure-based pair,0.8,0.19822,0.0633006013951469
9,gcn,pubmed,uniform,0.0,0.7787599999999999,0.015745225099146148
10,gcn,pubmed,uniform,0.2,0.71608,0.03192295685555349
11,gcn,pubmed,uniform,0.4,0.59392,0.04066193768820834
12,gcn,pubmed,uniform,0.6,0.42991999999999997,0.06028693937168095
13,gcn,pubmed,uniform,0.8,0.28854,0.08571828597029166
14,gcn,cora,uniform,0.0,0.8052800000000001,0.01789852235343637
15,gcn,cora,uniform,0.2,0.7257399999999998,0.052125597690984314
16,gcn,cora,uniform,0.4,0.6093400000000001,0.05619975351744457
17,gcn,cora,uniform,0.6,0.49795999999999996,0.054835715436383124
18,gcn,cora,uniform,0.8,0.21368,0.06935547803303835
19,gcn,cora,feature-based pair,0.2,0.69588,0.03470072208915202
20,gcn,cora,feature-based pair,0.4,0.49178,0.05498023363089245
21,gcn,cora,feature-based pair,0.6,0.3387,0.04685206377759134
22,gcn,cora,feature-based pair,0.8,0.11656,0.05089963394171991
23,gcn,roman-empire,structure-based pair,0.2,0.6981609601129545,0.010738921876596214
24,gcn,roman-empire,structure-based pair,0.4,0.4741651959054007,0.01580634003342584
25,gcn,roman-empire,structure-based pair,0.6,0.1733921637839746,0.007841961540758214
26,gcn,roman-empire,structure-based pair,0.8,0.17473349805859514,0.00486585966524455
27,gcn,citeseer,feature-based pair,0.2,0.57074,0.03983823137090176
28,gcn,citeseer,feature-based pair,0.4,0.41752,0.051289263500929695
29,gcn,citeseer,feature-based pair,0.6,0.2877199999999999,0.03557807235420006
30,gcn,citeseer,feature-based pair,0.8,0.16255999999999998,0.02635352679648766
31,gcn,roman-empire,uniform,0.0,0.7989551711966113,0.0066257502292825805
32,gcn,roman-empire,uniform,0.2,0.7185880691846099,0.007688747499081895
33,gcn,roman-empire,uniform,0.4,0.6253653370984822,0.006870697975365603
34,gcn,roman-empire,uniform,0.6,0.49793858100953053,0.006480390848862744
35,gcn,roman-empire,uniform,0.8,0.3353229791740205,0.011012141449219155
36,gcn,amazon-ratings,uniform,0.0,0.4879797484893026,0.012651851312010862
37,gcn,amazon-ratings,uniform,0.2,0.42396537644945287,0.01515835197178333
38,gcn,amazon-ratings,uniform,0.4,0.3961946758125102,0.01232322640717997
39,gcn,amazon-ratings,uniform,0.6,0.3799673362730688,0.009618054981992731
40,gcn,amazon-ratings,uniform,0.8,0.2528531765474441,0.11070993985926644
41,gcn,roman-empire,feature-based pair,0.2,0.6867490292975644,0.014786954781012251
42,gcn,roman-empire,feature-based pair,0.4,0.42193434521708434,0.022680781552818635
43,gcn,roman-empire,feature-based pair,0.6,0.1647334980585951,0.022376781367366833
44,gcn,roman-empire,feature-based pair,0.8,0.0968231556653724,8.646275124543474e-05
45,gcn,citeseer,structure-based pair,0.2,0.57874,0.02728043801243557
46,gcn,citeseer,structure-based pair,0.4,0.45874000000000004,0.036527978641368225
47,gcn,citeseer,structure-based pair,0.6,0.34001999999999993,0.04765178896989615
48,gcn,citeseer,structure-based pair,0.8,0.21280000000000002,0.04977152859194306
49,gcn,amazon-ratings,feature-based pair,0.2,0.39979421852033314,0.009266593134569448
50,gcn,amazon-ratings,feature-based pair,0.4,0.24994610485056348,0.10477604216288391
51,gcn,amazon-ratings,feature-based pair,0.6,0.058363547280744735,0.025780880542643207
52,gcn,amazon-ratings,feature-based pair,0.8,0.04332843377429364,7.484200057089301e-05
53,gcn,pubmed,feature-based pair,0.2,0.70866,0.03280774580585828
54,gcn,pubmed,feature-based pair,0.4,0.5588,0.0545047983735911
55,gcn,pubmed,feature-based pair,0.6,0.3809600000000001,0.050758314069642575
56,gcn,pubmed,feature-based pair,0.8,0.38678,0.013813361012685732
57,gcn,pubmed,structure-based pair,0.2,0.6878,0.04120397963835022
58,gcn,pubmed,structure-based pair,0.4,0.5985600000000001,0.061405964820033
59,gcn,pubmed,structure-based pair,0.6,0.3884,0.020132489109194848
60,gcn,pubmed,structure-based pair,0.8,0.38514000000000004,0.01267486792730833
61,gcn,amazon-ratings,structure-based pair,0.2,0.44767270945614895,0.01184288090029779
62,gcn,amazon-ratings,structure-based pair,0.4,0.3732484076433121,0.02903127678012648
63,gcn,amazon-ratings,structure-based pair,0.6,0.333901682181937,0.044285014836188366
64,gcn,amazon-ratings,structure-based pair,0.8,0.31687408133268014,0.04699462459918151
